CT0,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.95145122347279,30.95145122347279,30.95145122347279
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.849291806677076,30.849291806677076,30.849291806677076
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.787865690179164,30.787865690179164,30.787865690179164
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.725932841578803,30.725932841578803,30.725932841578803
29.536271991549025,29.536271991549025,29.536271991549025,31.265393114507937,31.265393114507933,31.265393114507937,32.08382967254962,32.08382967254962,32.08382967254962
29.536271991549025,29.536271991549025,29.536271991549025,32.918348035275066,32.91834803527506,32.918348035275066,33.36207222216249,33.36207222216249,33.36207222216249
29.536271991549025,29.536271991549025,29.536271991549025,32.35187647582301,32.351876475823005,32.35187647582301,31.87375942835665,31.87375942835665,31.87375942835665
26.714077084631477,26.714077084631477,26.714077084631477,29.4806768565219,29.480676856521892,29.4806768565219,29.048706274387282,29.048706274387282,29.048706274387282
26.714077084631477,26.714077084631477,26.714077084631477,29.60524399624793,29.60524399624792,29.60524399624793,29.17046973454214,29.17046973454214,29.17046973454214
26.73411346819312,26.73411346819312,26.73411346819312,29.526073442768475,29.526073442768467,29.526073442768475,29.160266064738682,29.160266064738682,29.160266064738682
27.448073840704996,27.448073840704996,27.448073840704996,30.164581272960714,30.16458127296071,30.164581272960714,29.847842198854686,29.847842198854686,29.847842198854686
27.522489117417326,27.522489117417326,27.522489117417326,30.09983421022099,30.099834210220983,30.09983421022099,29.82382908819358,29.82382908819358,29.82382908819358
28.256286238878513,28.256286238878513,28.256286238878513,29.905650375152497,29.90565037515249,29.905650375152497,29.640049275924373,29.640049275924373,29.640049275924373
28.353044894586276,28.353044894586276,28.353044894586276,30.161118396357974,30.16111839635797,30.161118396357974,29.87504495049257,29.87504495049257,29.87504495049257
28.43382397403833,28.43382397403833,28.43382397403833,30.166866320357975,30.16686632035797,30.166866320357975,29.92054819623408,29.92054819623408,29.92054819623408
28.51780036490591,28.51780036490591,28.51780036490591,30.19378119482373,30.19378119482372,30.19378119482373,29.93871064721681,29.93871064721681,29.93871064721681
28.597345738421893,28.597345738421893,28.597345738421893,30.295311196248385,30.295311196248377,30.295311196248385,29.97540875370877,29.97540875370877,29.97540875370877
31.614155377969695,31.614155377969695,31.614155377969695,33.142299595047334,33.14229959504733,33.142299595047334,32.904660144934155,32.904660144934155,32.904660144934155
31.100492966891494,31.100492966891494,31.100492966891494,32.34194632004219,32.34194632004218,32.34194632004219,34.268625449083274,34.268625449083274,34.268625449083274
31.209832298398343,31.209832298398343,31.209832298398343,31.74253731878191,31.742537318781906,31.74253731878191,33.133923674693754,33.133923674693754,33.133923674693754
31.276400181503362,31.276400181503362,31.276400181503362,31.668270689412047,31.668270689412044,31.668270689412047,33.00914806111424,33.00914806111424,33.00914806111424
31.35224723903761,31.35224723903761,31.35224723903761,31.62778407280931,31.627784072809305,31.62778407280931,32.90519332186469,32.90519332186469,32.90519332186469
31.42150753492802,31.42150753492802,31.42150753492802,30.321834861795605,30.3218348617956,30.321834861795605,31.795031285890897,31.795031285890897,31.795031285890897
32.09255979428875,32.09255979428875,32.09255979428875,30.11727975565862,30.117279755658615,30.11727975565862,31.527753614896255,31.527753614896255,31.527753614896255
