CT0,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.46624691538464,30.46624691538464,30.46624691538464
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.39911358434746,30.39911358434746,30.39911358434746
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.35874785064883,30.35874785064883,30.35874785064883
29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,29.536271991549025,30.318049121568595,30.318049121568595,30.318049121568595
29.536271991549025,29.536271991549025,29.536271991549025,31.265393114507937,31.265393114507933,31.265393114507937,31.210381324777988,31.210381324777988,31.210381324777988
29.536271991549025,29.536271991549025,29.536271991549025,32.918348035275066,32.91834803527506,32.918348035275066,32.05036928595216,32.05036928595216,32.05036928595216
29.536271991549025,29.536271991549025,29.536271991549025,32.35187647582301,32.351876475823005,32.35187647582301,31.07233516430832,31.07233516430832,31.07233516430832
26.714077084631477,26.714077084631477,26.714077084631477,29.4806768565219,29.480676856521892,29.4806768565219,28.24826198075672,28.24826198075672,28.24826198075672
26.714077084631477,26.714077084631477,26.714077084631477,29.60524399624793,29.60524399624792,29.60524399624793,28.328277968858483,28.328277968858483,28.328277968858483
26.73411346819312,26.73411346819312,26.73411346819312,29.526073442768475,29.526073442768467,29.526073442768475,28.3215727001305,28.3215727001305,28.3215727001305
27.448073840704996,27.448073840704996,27.448073840704996,30.164581272960714,30.16458127296071,30.164581272960714,28.96601758259671,28.96601758259671,28.96601758259671
27.522489117417326,27.522489117417326,27.522489117417326,30.09983421022099,30.099834210220983,30.09983421022099,28.950237538447983,28.950237538447983,28.950237538447983
28.256286238878513,28.256286238878513,28.256286238878513,29.905650375152497,29.90565037515249,29.905650375152497,28.82946794752822,28.82946794752822,28.82946794752822
28.353044894586276,28.353044894586276,28.353044894586276,30.161118396357974,30.16111839635797,30.161118396357974,28.983893676530176,28.983893676530176,28.983893676530176
28.43382397403833,28.43382397403833,28.43382397403833,30.166866320357975,30.16686632035797,30.166866320357975,29.013795809446027,29.013795809446027,29.013795809446027
28.51780036490591,28.51780036490591,28.51780036490591,30.19378119482373,30.19378119482372,30.19378119482373,29.025731134377533,29.025731134377533,29.025731134377533
28.597345738421893,28.597345738421893,28.597345738421893,30.295311196248385,30.295311196248377,30.295311196248385,29.049847032929392,29.049847032929392,29.049847032929392
31.614155377969695,31.614155377969695,31.614155377969695,33.142299595047334,33.14229959504733,33.142299595047334,31.965612610272366,31.96561261027237,31.96561261027237
31.100492966891494,31.100492966891494,31.100492966891494,32.34194632004219,32.34194632004218,32.34194632004219,32.64610426364296,32.64610426364296,32.64610426364296
31.209832298398343,31.209832298398343,31.209832298398343,31.74253731878191,31.742537318781906,31.74253731878191,31.90044309761556,31.90044309761556,31.90044309761556
31.276400181503362,31.276400181503362,31.276400181503362,31.668270689412047,31.668270689412044,31.668270689412047,31.818447694406167,31.818447694406167,31.818447694406167
31.35224723903761,31.35224723903761,31.35224723903761,31.62778407280931,31.627784072809305,31.62778407280931,31.750134580042175,31.750134580042175,31.750134580042175
31.42150753492802,31.42150753492802,31.42150753492802,30.321834861795605,30.3218348617956,30.321834861795605,31.020599527830825,31.020599527830825,31.020599527830825
32.09255979428875,32.09255979428875,32.09255979428875,30.11727975565862,30.117279755658615,30.11727975565862,30.84495991546292,30.84495991546292,30.84495991546292
