CT0,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8
0.0,0.0,0.0,0.0,0.0,0.0,13.467981243867529,7.922341908157369,6.337873526525895
0.0,0.0,0.0,0.0,0.0,0.0,12.680428681823853,7.459075695190502,5.967260556152403
0.0,0.0,0.0,0.0,0.0,0.0,12.19532580725431,7.1737210630907695,5.738976850472616
0.0,0.0,0.0,0.0,0.0,0.0,11.697165506287913,6.880685591934066,5.504548473547253
0.0,0.0,0.0,62.5897354714683,125.17947094293663,62.5897354714683,20.82230249778906,12.248413233993562,9.79873058719485
0.0,0.0,0.0,92.17889455346946,184.357789106939,92.17889455346946,26.84028642650269,15.7884037802957,12.63072302423656
0.0,0.0,0.0,84.02687402265053,168.05374804530103,84.02687402265053,19.626155516894382,11.54479736287905,9.23583789030324
0.0,0.0,0.0,78.72798190023852,157.45596380047704,78.72798190023852,17.82862560695334,10.48742682761961,8.389941462095688
0.0,0.0,0.0,80.86340030706685,161.72680061413365,80.86340030706685,18.522644095300937,10.895672997235845,8.716538397788677
0.0178538795980542,0.0178538795980542,0.0178538795980542,79.51563701708452,159.03127403416897,79.51563701708452,18.46518747604457,10.86187498590857,8.689499988726855
0.1529373971539765,0.1529373971539765,0.1529373971539765,81.47509801304025,162.95019602608065,81.47509801304025,19.44020070301522,11.435412178244244,9.148329742595395
0.21581608780301387,0.21581608780301387,0.21581608780301387,80.38906626012923,160.77813252025845,80.38906626012923,19.308063573683576,11.357684455107986,9.086147564086389
0.7480868552494794,0.7480868552494794,0.7480868552494794,76.99491354743206,153.98982709486404,76.99491354743206,18.27281393006411,10.7487140765083,8.59897126120664
0.8080290978926785,0.8080290978926785,0.8080290978926785,81.41757408697909,162.83514817395834,81.41757408697909,19.589034176116225,11.522961280068367,9.218369024054693
0.8564963734225369,0.8564963734225369,0.8564963734225369,81.5130219032083,163.02604380641662,81.5130219032083,19.835981468315893,11.668224393126994,9.334579514501597
0.9054215190481575,0.9054215190481575,0.9054215190481575,81.95766513140809,163.9153302628162,81.95766513140809,19.933851825106668,11.725795191239218,9.380636152991373
0.9504416753278785,0.9504416753278785,0.9504416753278785,83.60147811708448,167.20295623416897,83.60147811708448,20.130399896004697,11.841411703532172,9.473129362825738
1.1428586286009412,1.1428586286009412,1.1428586286009412,87.99358741330045,175.98717482660112,87.99358741330045,22.460017056690923,13.211774739230005,10.569419791384002
1.1691571166406647,1.1691571166406647,1.1691571166406647,83.86834097527309,167.7366819505462,83.86834097527309,30.080010139430595,17.69412361142976,14.15529888914381
1.224569278659802,1.224569278659802,1.224569278659802,73.11697022257576,146.23394044515143,73.11697022257576,25.904765510188387,15.238097358934345,12.190477887147477
1.2571159561712062,1.2571159561712062,1.2571159561712062,71.60537843156797,143.21075686313577,71.60537843156797,25.370050298063887,14.923558998861111,11.93884719908889
1.293148453921271,1.293148453921271,1.293148453921271,70.76275888774236,141.52551777548487,70.76275888774236,24.91151548765721,14.65383263979836,11.723066111838687
1.3251080798178354,1.3251080798178354,1.3251080798178354,34.540862400720776,69.0817248014414,34.540862400720776,19.160070648356577,11.270629793150928,9.01650383452074
1.5937715595668906,1.5937715595668906,1.5937715595668906,26.761136422299042,53.52227284459787,26.761136422299042,17.500499803666177,10.294411649215398,8.235529319372318
