CT0,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8
0.0,0.0,0.0,0.0,0.0,0.0,45.87395157147814,36.69916125718251,22.93697578573907
0.0,0.0,0.0,0.0,0.0,0.0,45.880343465315775,36.70427477225262,22.940171732657888
0.0,0.0,0.0,0.0,0.0,0.0,45.884186534716164,36.70734922777293,22.942093267358082
0.0,0.0,0.0,0.0,0.0,0.0,45.888061240108634,36.7104489920869,22.944030620054317
0.0,0.0,0.0,229.2715119535382,458.5430239070774,229.2715119535382,45.80297963406462,36.642383707251696,22.90148981703231
0.0,0.0,0.0,228.7520758516103,457.50415170322157,228.7520758516103,45.7223441256535,36.5778753005228,22.86117206282675
0.0,0.0,0.0,228.93062904467075,457.86125808934247,228.93062904467075,45.81617073986367,36.652936591890935,22.908085369931836
0.0,0.0,0.0,228.840204837341,457.68040967468295,228.840204837341,45.7970368584858,36.63762948678864,22.8985184292429
0.0,0.0,0.0,228.79866789130787,457.5973357826167,228.79866789130787,45.788831661693365,36.63106532935469,22.894415830846683
4.596111705236393,4.596111705236393,4.596111705236393,228.82505448217924,457.65010896435945,228.82505448217924,45.78951823427984,36.631614587423876,22.89475911713992
4.594934637459541,4.594934637459541,4.594934637459541,228.78503713492694,457.57007426985484,228.78503713492694,45.778388400435105,36.62271072034809,22.889194200217553
4.594366452293467,4.594366452293467,4.594366452293467,228.80682451398295,457.61364902796686,228.80682451398295,45.78001631273772,36.62401305019017,22.89000815636886
4.5889323098655215,4.5889323098655215,4.5889323098655215,228.87236816967476,457.7447363393505,228.87236816967476,45.79251082795737,36.6340086623659,22.896255413978686
4.588234993615005,4.588234993615005,4.588234993615005,228.7862015835953,457.57240316719157,228.7862015835953,45.776545498637454,36.621236398909964,22.888272749318727
4.5876557167759655,4.5876557167759655,4.5876557167759655,228.78426879997062,457.5685375999422,228.78426879997062,45.77346570015732,36.618772560125855,22.88673285007866
4.587056158218384,4.587056158218384,4.587056158218384,228.77522175916934,457.55044351833965,228.77522175916934,45.77223740890838,36.6177899271267,22.88611870445419
4.58649061487388,4.58649061487388,4.58649061487388,228.7411416030445,457.48228320608996,228.7411416030445,45.76975729524561,36.61580583619649,22.884878647622806
4.587080620210863,4.587080620210863,4.587080620210863,228.87008213850808,457.74016427701713,228.87008213850808,45.78910790818932,36.63128632655146,22.89455395409466
4.586462481380496,4.586462481380496,4.586462481380496,228.9337532721616,457.86750654432416,228.9337532721616,45.66469400141243,36.53175520112995,22.832347000706214
4.585778085066556,4.585778085066556,4.585778085066556,229.12201839043018,458.24403678086134,229.12201839043018,45.736788734964755,36.5894309879718,22.868394367482377
4.585361321652725,4.585361321652725,4.585361321652725,229.145305061969,458.29061012393896,229.145305061969,45.744678312125544,36.59574264970043,22.872339156062772
4.584886368405641,4.584886368405641,4.584886368405641,229.1579966974178,458.31599339483654,229.1579966974178,45.75124599595581,36.600996796764655,22.875622997977906
4.584452563252851,4.584452563252851,4.584452563252851,229.5667409055461,459.1334818110932,229.5667409055461,45.82111079112963,36.6568886329037,22.910555395564813
4.580243111929063,4.580243111929063,4.580243111929063,229.63079420702024,459.26158841404146,229.63079420702024,45.837868997712135,36.67029519816971,22.918934498856068
