,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003
,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000
0,55.95008953568061,55.95008953568061,55.95008953568061,55.95008953568061,55.95008953568061,55.95008953568061,11.19001790713612,11.19001790713612,11.19001790713612,62.57506977615877,62.57506977615877,62.57506977615877,62.57506977615877,62.57506977615877,62.57506977615877,12.515013955231753,12.515013955231753,12.515013955231753,33.07775678301285,33.07775678301285,33.07775678301285,33.07775678301285,33.07775678301285,33.07775678301285,6.61555135660257,6.61555135660257,6.61555135660257
1,53.76723300272504,53.76723300272504,53.76723300272504,53.76723300272504,53.76723300272504,53.76723300272504,10.753446600545006,10.753446600545006,10.753446600545006,60.31783886821607,60.31783886821607,60.31783886821607,60.31783886821607,60.31783886821607,60.31783886821607,12.063567773643213,12.063567773643213,12.063567773643213,31.487129024915607,31.487129024915607,31.487129024915607,31.487129024915607,31.487129024915607,31.487129024915607,6.297425804983121,6.297425804983121,6.297425804983121
2,52.26539899090661,52.26539899090661,52.26539899090661,52.26539899090661,52.26539899090661,52.26539899090661,10.45307979818132,10.45307979818132,10.45307979818132,58.74471064641446,58.74471064641446,58.74471064641446,58.74471064641446,58.74471064641446,58.74471064641446,11.74894212928289,11.74894212928289,11.74894212928289,30.39716154830773,30.39716154830773,30.39716154830773,30.39716154830773,30.39716154830773,30.39716154830773,6.079432309661546,6.079432309661546,6.079432309661546
3,51.17996463893958,51.17996463893958,51.17996463893958,51.17996463893958,51.17996463893958,51.17996463893958,10.235992927787914,10.235992927787914,10.235992927787914,57.68744942410066,57.68744942410066,57.68744942410066,57.68744942410066,57.68744942410066,57.68744942410066,11.537489884820129,11.537489884820129,11.537489884820129,29.477115190808608,29.477115190808608,29.477115190808608,29.477115190808608,29.477115190808608,29.477115190808608,5.89542303816172,5.89542303816172,5.89542303816172
4,262.25761620380376,262.25761620380376,262.25761620380376,262.25761620380376,262.25761620380376,262.25761620380376,52.45152324076075,52.45152324076075,52.45152324076075,278.6870521463891,278.6870521463891,278.6870521463891,278.6870521463891,278.6870521463891,278.6870521463891,55.73741042927782,55.73741042927782,55.73741042927782,268.4820729612804,268.4820729612804,268.4820729612804,268.4820729612804,268.4820729612804,268.4820729612804,53.69641459225609,53.69641459225609,53.69641459225609
5,489.7914152536748,489.7914152536748,489.7914152536748,489.7914152536748,489.7914152536748,489.7914152536748,97.95828305073496,97.95828305073496,97.95828305073496,530.3044624867571,530.3044624867571,530.3044624867571,530.3044624867571,530.3044624867571,530.3044624867571,106.0608924973514,106.0608924973514,106.0608924973514,513.0055098733159,513.0055098733159,513.0055098733159,513.0055098733159,513.0055098733159,513.0055098733159,102.60110197466318,102.60110197466318,102.60110197466318
6,394.7005949790629,394.7005949790629,394.7005949790629,394.7005949790629,394.7005949790629,394.7005949790629,78.94011899581258,78.94011899581258,78.94011899581258,426.07096495500593,426.07096495500593,426.07096495500593,426.07096495500593,426.07096495500593,426.07096495500593,85.2141929910012,85.2141929910012,85.2141929910012,419.9494872369519,419.9494872369519,419.9494872369519,419.9494872369519,419.9494872369519,419.9494872369519,83.98989744739038,83.98989744739038,83.98989744739038
7,383.36461783864183,383.36461783864183,383.36461783864183,383.36461783864183,383.36461783864183,383.36461783864183,76.67292356772839,76.67292356772839,76.67292356772839,420.8218171032826,420.8218171032826,420.8218171032826,420.8218171032826,420.8218171032826,420.8218171032826,84.16436342065656,84.16436342065656,84.16436342065656,406.3445261781824,406.3445261781824,406.3445261781824,406.3445261781824,406.3445261781824,406.3445261781824,81.26890523563647,81.26890523563647,81.26890523563647
8,401.16210407876997,401.16210407876997,401.16210407876997,401.16210407876997,401.16210407876997,401.16210407876997,80.23242081575398,80.23242081575398,80.23242081575398,437.4177259305863,437.4177259305863,437.4177259305863,437.4177259305863,437.4177259305863,437.4177259305863,87.48354518611727,87.48354518611727,87.48354518611727,422.7527064291178,422.7527064291178,422.7527064291178,422.7527064291178,422.7527064291178,422.7527064291178,84.55054128582356,84.55054128582356,84.55054128582356
9,395.8933264850152,395.8933264850152,395.8933264850152,395.8933264850152,395.8933264850152,395.8933264850152,79.17866529700306,79.17866529700306,79.17866529700306,426.907634263308,426.907634263308,426.907634263308,426.907634263308,426.907634263308,426.907634263308,85.3815268526616,85.3815268526616,85.3815268526616,414.6037184723619,414.6037184723619,414.6037184723619,414.6037184723619,414.6037184723619,414.6037184723619,82.92074369447238,82.92074369447238,82.92074369447238
