,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2001,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2002,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003,D2003
,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000,50000,50000,50000,50000,50000,50000,10000,10000,10000
0,0.2639360856235614,0.2639360856235614,0.2639360856235614,0.2639360856235614,0.2639360856235614,0.2639360856235614,0.2963256258360691,0.2963256258360691,0.2963256258360691,0.2953242684558352,0.2953242684558352,0.2953242684558352,0.2953242684558352,0.2953242684558352,0.2953242684558352,0.3315656836692227,0.3315656836692227,0.3315656836692227,0.15581364050039256,0.15581364050039256,0.15581364050039256,0.15581364050039256,0.15581364050039256,0.15581364050039256,0.17493467945465885,0.17493467945465885,0.17493467945465885
1,0.2535685661724275,0.2535685661724275,0.2535685661724275,0.2535685661724275,0.2535685661724275,0.2535685661724275,0.2846858317455158,0.2846858317455158,0.2846858317455158,0.2845892759209989,0.2845892759209989,0.2845892759209989,0.2845892759209989,0.2845892759209989,0.2845892759209989,0.3195133211674621,0.3195133211674621,0.3195133211674621,0.1482875235494005,0.1482875235494005,0.1482875235494005,0.1482875235494005,0.1482875235494005,0.1482875235494005,0.16648497728396378,0.16648497728396378,0.16648497728396378
2,0.2464810033918713,0.2464810033918713,0.2464810033918713,0.2464810033918713,0.2464810033918713,0.2464810033918713,0.27672850195622667,0.27672850195622667,0.27672850195622667,0.27715887280952645,0.27715887280952645,0.27715887280952645,0.27715887280952645,0.27715887280952645,0.27715887280952645,0.31117107858619675,0.31117107858619675,0.31117107858619675,0.14315697099838878,0.14315697099838878,0.14315697099838878,0.14315697099838878,0.14315697099838878,0.14315697099838878,0.16072481685735301,0.16072481685735301,0.16072481685735301
3,0.24132488731881038,0.24132488731881038,0.24132488731881038,0.24132488731881038,0.24132488731881038,0.24132488731881038,0.27093964091957273,0.27093964091957273,0.27093964091957273,0.27212848152475494,0.27212848152475494,0.27212848152475494,0.27212848152475494,0.27212848152475494,0.27212848152475494,0.305523370952212,0.305523370952212,0.305523370952212,0.13880491306916448,0.13880491306916448,0.13880491306916448,0.13880491306916448,0.13880491306916448,0.13880491306916448,0.1558386858589887,0.1558386858589887,0.1558386858589887
4,1.2912873280961246,1.2912873280961246,1.2912873280961246,1.2912873280961246,1.2912873280961246,1.2912873280961246,1.4497507028198173,1.4497507028198173,1.4497507028198173,1.3721815371853314,1.3721815371853314,1.3721815371853314,1.3721815371853314,1.3721815371853314,1.3721815371853314,1.5405720358642945,1.5405720358642945,1.5405720358642945,1.3219349113829557,1.3219349113829557,1.3219349113829557,1.3219349113829557,1.3219349113829557,1.3219349113829557,1.4841592766848783,1.4841592766848783,1.4841592766848783
5,2.411603739415687,2.411603739415687,2.411603739415687,2.411603739415687,2.411603739415687,2.411603739415687,2.7075493889463225,2.7075493889463225,2.7075493889463225,2.6110792981120836,2.6110792981120836,2.6110792981120836,2.6110792981120836,2.6110792981120836,2.6110792981120836,2.9315040620258284,2.9315040620258284,2.9315040620258284,2.52590381828269,2.52590381828269,2.52590381828269,2.52590381828269,2.52590381828269,2.52590381828269,2.8358760719891403,2.8358760719891403,2.8358760719891403
6,1.9434016219090173,1.9434016219090173,1.9434016219090173,1.9434016219090173,1.9434016219090173,1.9434016219090173,2.1818907426109564,2.1818907426109564,2.1818907426109564,2.0978610492994614,2.0978610492994614,2.0978610492994614,2.0978610492994614,2.0978610492994614,2.0978610492994614,2.355305023494981,2.355305023494981,2.355305023494981,2.067720507640594,2.067720507640594,2.067720507640594,2.067720507640594,2.067720507640594,2.067720507640594,2.3214657140689843,2.3214657140689843,2.3214657140689843
7,1.8875862604911142,1.8875862604911142,1.8875862604911142,1.8875862604911142,1.8875862604911142,1.8875862604911142,2.1192258672705835,2.1192258672705835,2.1192258672705835,2.0720156298132797,2.0720156298132797,2.0720156298132797,2.0720156298132797,2.0720156298132797,2.0720156298132797,2.3262879223049544,2.3262879223049544,2.3262879223049544,2.0007332678847884,2.0007332678847884,2.0007332678847884,2.0007332678847884,2.0007332678847884,2.0007332678847884,2.2462579769504565,2.2462579769504565,2.2462579769504565
8,1.975216388403141,1.975216388403141,1.975216388403141,1.975216388403141,1.975216388403141,1.975216388403141,2.2176097333276923,2.2176097333276923,2.2176097333276923,2.1537295074773026,2.1537295074773026,2.1537295074773026,2.1537295074773026,2.1537295074773026,2.1537295074773026,2.418029511489612,2.418029511489612,2.418029511489612,2.081522819554795,2.081522819554795,2.081522819554795,2.081522819554795,2.081522819554795,2.081522819554795,2.3369618092933164,2.3369618092933164,2.3369618092933164
9,1.9492743172448141,1.9492743172448141,1.9492743172448141,1.9492743172448141,1.9492743172448141,1.9492743172448141,2.188484119627264,2.188484119627264,2.188484119627264,2.101980588290382,2.101980588290382,2.101980588290382,2.101980588290382,2.101980588290382,2.101980588290382,2.3599301014442746,2.3599301014442746,2.3599301014442746,2.0413993522645657,2.0413993522645657,2.0413993522645657,2.0413993522645657,2.0413993522645657,2.0413993522645657,2.2919144959356132,2.2919144959356132,2.2919144959356132
